# equation of state: murnaghan.        chisq =   0.3660D-08
# a0 =  7.8243 a.u., k0 =  167 kbar, dk0 =  5.20 d2k0 =  0.000 emin =  -96.37456
# a0 =  4.14045 Ang, k0 =  16.8 GPa,  V0 =   479.00 (a.u.)^3,  V0 =   70.98 A^3 

#########################################################################
# Lat.Par       E_calc        E_fit       E_diff    Pressure      Enthalpy
# Ang             Ry           Ry            Ry        GPa           Ry
#########################################################################
  3.80000     -96.34971     -96.34966    -0.00006       9.08      -96.12103
  3.86000     -96.35888     -96.35896     0.00008       6.42      -96.18963
  3.92000     -96.36559     -96.36563     0.00004       4.35      -96.24531
  3.98000     -96.37015     -96.37016     0.00001       2.75      -96.29052
  4.04000     -96.37299     -96.37295    -0.00004       1.51      -96.32737
  4.10000     -96.37442     -96.37432    -0.00010       0.53      -96.35751
  4.16000     -96.37457     -96.37451    -0.00006      -0.23      -96.38213
  4.22000     -96.37366     -96.37372     0.00007      -0.83      -96.40227
  4.28000     -96.37207     -96.37211     0.00004      -1.30      -96.41899
  4.34000     -96.36972     -96.36981     0.00009      -1.68      -96.43274
  4.40000     -96.36694     -96.36692    -0.00002      -1.98      -96.44429
  4.46000     -96.36356     -96.36351    -0.00005      -2.22      -96.45382
